f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,label
46,1,62,75,28,6,-1,96,-61,-13,19,-17,-13,104,-89,-149,-106,-145,2
46,1,62,75,28,6,2,99,-60,-10,22,-12,-13,104,-90,-150,-103,-145,2
46,1,62,75,28,6,0,96,-62,-14,20,-15,-12,105,-89,-150,-104,-144,2
46,1,62,75,28,6,0,97,-61,-14,19,-16,-13,105,-89,-148,-102,-146,2
46,1,62,75,28,6,0,98,-63,-12,21,-13,-13,104,-89,-148,-105,-146,2
46,1,62,75,28,6,-1,95,-62,-15,19,-17,-13,104,-89,-144,-105,-143,2
46,1,62,75,28,6,1,99,-62,-11,22,-13,-14,104,-90,-146,-106,-145,2
46,1,62,75,28,6,-3,96,-62,-14,20,-16,-12,105,-88,-154,-108,-138,2
46,1,62,75,28,6,-1,97,-62,-14,19,-17,-13,105,-90,-146,-109,-139,2
46,1,62,75,28,6,1,97,-61,-11,21,-14,-13,104,-90,-148,-112,-142,2
46,1,62,75,28,6,-1,100,-65,-12,19,-16,-13,104,-90,-197,-97,-139,2
46,1,62,75,28,6,-3,99,-67,-13,20,-15,-12,105,-88,-197,-96,-134,2
46,1,62,75,28,6,-4,100,-67,-14,19,-17,-13,105,-90,-200,-99,-133,2
46,1,62,75,28,6,-3,98,-65,-13,20,-14,-12,105,-89,-182,-105,-135,2
46,1,62,75,28,6,0,96,-65,-14,20,-17,-13,104,-89,-165,-100,-145,2
46,1,62,75,28,6,0,99,-63,-11,22,-13,-13,104,-90,-168,-90,-140,2
46,1,62,75,28,6,-5,96,-65,-15,18,-17,-13,104,-89,-176,-98,-137,2
46,1,62,75,28,6,1,100,-61,-9,22,-12,-13,104,-90,-151,-105,-137,2
46,1,62,75,28,6,-1,96,-64,-13,20,-16,-12,105,-89,-151,-111,-142,2
46,1,62,75,28,6,-1,100,-65,-12,20,-14,-14,104,-90,-156,-103,-140,2
46,1,62,75,28,6,-2,99,-66,-13,20,-15,-12,105,-88,-155,-103,-140,2
46,1,62,75,28,6,-3,100,-72,-15,19,-17,-13,104,-90,-159,-100,-150,2
46,1,62,75,28,6,-2,102,-69,-11,21,-13,-13,104,-90,-155,-100,-149,2
46,1,62,75,28,6,-4,98,-69,-14,18,-17,-13,104,-90,-157,-99,-146,2
46,1,62,75,28,6,1,102,-69,-9,22,-12,-13,104,-91,-153,-101,-146,2
46,1,62,75,28,6,-3,99,-72,-14,18,-16,-12,104,-88,-155,-102,-149,2
46,1,62,75,28,6,-1,100,-69,-11,20,-15,-14,104,-91,-154,-99,-145,2
46,1,62,75,28,6,-2,99,-69,-13,21,-15,-12,105,-88,-154,-101,-147,2
46,1,62,75,28,6,-3,99,-69,-15,19,-17,-13,104,-90,-155,-101,-148,2
46,1,62,75,28,6,-2,101,-68,-10,22,-13,-13,104,-91,-154,-100,-147,2
46,1,62,75,28,6,-4,99,-69,-14,19,-16,-13,104,-89,-156,-101,-146,2
46,1,62,75,28,6,0,102,-67,-10,21,-13,-13,104,-91,-156,-101,-147,2
46,1,62,75,28,6,-3,98,-68,-13,19,-16,-12,105,-89,-155,-99,-145,2
46,1,62,75,28,6,-2,99,-66,-14,19,-17,-13,105,-90,-157,-99,-147,2
46,1,62,75,28,6,-2,99,-67,-13,20,-14,-13,104,-89,-156,-100,-147,2
46,1,62,75,28,6,-3,97,-66,-14,19,-17,-13,104,-90,-156,-100,-146,2
46,1,62,75,28,6,0,101,-65,-10,22,-13,-14,104,-90,-156,-100,-147,2
46,1,62,75,28,6,-3,98,-67,-14,19,-16,-12,105,-88,-156,-99,-146,2
46,1,62,75,28,6,0,100,-65,-12,20,-14,-13,104,-91,-157,-100,-148,2
46,1,62,75,28,6,-3,98,-65,-14,20,-16,-12,105,-88,-158,-99,-146,2
46,1,62,75,28,6,-1,99,-65,-13,19,-15,-13,104,-90,-157,-100,-147,2
46,1,62,75,28,6,-2,98,-65,-13,20,-15,-12,104,-89,-156,-99,-147,2
46,1,62,75,28,6,-3,98,-65,-14,18,-17,-13,104,-91,-157,-99,-147,2
46,1,62,75,28,6,-2,98,-65,-12,21,-14,-13,104,-89,-157,-99,-148,2
46,1,62,75,28,6,-4,97,-65,-15,18,-17,-13,104,-90,-157,-99,-148,2
46,1,62,75,28,6,-1,99,-64,-11,22,-13,-13,104,-90,-158,-99,-148,2
46,1,62,75,28,6,-3,97,-65,-15,19,-17,-13,104,-90,-157,-99,-147,2
46,1,62,75,28,6,0,101,-64,-10,22,-12,-13,104,-90,-157,-99,-147,2
46,1,62,75,28,6,-4,97,-66,-15,19,-16,-13,104,-90,-157,-99,-147,2
46,1,62,75,28,6,0,101,-65,-10,22,-12,-13,104,-90,-157,-99,-148,2
46,1,62,75,28,6,-3,98,-67,-14,19,-17,-12,104,-88,-157,-99,-146,2
46,1,62,75,28,6,0,101,-65,-10,22,-13,-14,104,-91,-157,-99,-148,2
46,1,62,75,28,6,-3,99,-67,-14,19,-16,-12,105,-88,-157,-99,-147,2
46,1,62,75,28,6,-1,100,-66,-12,20,-16,-14,104,-90,-157,-99,-148,2
46,1,62,75,28,6,-3,98,-66,-13,19,-15,-12,104,-89,-157,-99,-148,2
46,1,62,75,28,6,-2,98,-67,-14,18,-17,-13,104,-90,-157,-99,-148,2
46,1,62,75,28,6,-2,98,-65,-12,20,-14,-12,104,-89,-157,-99,-147,2
46,1,62,75,28,6,-3,97,-66,-15,18,-17,-13,104,-90,-157,-99,-148,2
46,1,62,75,28,6,-2,100,-66,-12,21,-13,-12,104,-90,-157,-99,-148,2
46,1,62,75,28,6,-4,98,-66,-15,18,-17,-13,104,-90,-157,-99,-147,2
46,1,62,75,28,6,0,100,-64,-10,21,-12,-13,104,-91,-156,-99,-149,2
46,1,62,75,28,6,-3,97,-65,-15,18,-17,-13,104,-90,-157,-99,-147,2
46,1,62,75,28,6,0,101,-64,-10,22,-12,-14,104,-91,-156,-99,-148,2
46,1,62,75,28,6,-3,97,-66,-15,19,-17,-13,104,-90,-158,-99,-148,2
